DRDP Measure,** DRDP Developmental Level ,** Teaching Practice Category,Resource Agency,Activity Title,Activity Description,URL,"** FS Domain (should be Cognitive, Language, Physical or Social Emotional)","Age Range (months) should be the numbers only, e.g., 6-12)",Extra columns unique to that form (list out after) create a new column for each unique variable,FS ActivityCard #,FS Music,FS Infant Card SPANISH URL,"FS Intentions (should be Communication, Attention, Curiosity or Persitence)","FS Intentions (should be Communication, Attention, Curiosity or Persitence)","HSELOF goals (IT-ATL #, IT-SE #, IT-LC #, IT-C #, IT-PMP #)",ASQ page number
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Jeepers Peepers,Discuss size of Jeepers Peepers' eyes,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C1d Uses identification words correctly (“eye”),15 - 36,,"AG, 1, 6",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Just Jasper and Me,"After reading story a couple of times, ask ""what are some things Jasper does"" and ""where does Jasper sleep?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,C2e Answers simple questions,15 - 36,,"AG, 2, 26",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Leg Comparisons,"Show animal Photo Activity Cards, ask ""How are the animal legs like our legs?"" and ""How are they different?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,C2e Answers simple questions,15 - 36,,"AG, 1, 36",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Library and Listening,"Tell ""Old MacDonald"" story, have children use props or tell story",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 11, 3",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Little Ball,"Teach children ""Little Ball"" action rhyme",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18196,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 6, 7",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Little Chicks,"Discuss food that baby chicks eat, ask children how it's different from food human babies eat",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C2e Answers simple questions,15 - 36,,"AG, 11, 17",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Little Red Hen,"Read story, sing song and ask children questions",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C3a Attempts to sing a song,15 - 36,,"AG, 11, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Little Red Hen,"Read story, ask questions about the story",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C2e Answers simple questions,15 - 36,,"AG, 3, 6",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Maggie the Farmyard Horse,"Read story, have children add words ""giddy-up"" every time they hear horse's name",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,"C3b Chimes in on predictable lines, rhymes, and alliterative text",15 - 36,,"AG, 6, 11",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Make New Friends,"Teach children ""Make New Friends"" song",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C3a Attempts to sing a song,15 - 36,,"AG, 3, 8",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Megaphones,"Give children toilet paper tubes to use as megaphones, discuss how children use their mouths to make sounds, ask children if they can hear the difference",https://drive.google.com/file/d/1Ps4-qpjSlt_RyQilURhVnHMLVobkvei9/view,C1c C1d Shows one or more body parts,15 - 36,,"AG, 1, 17",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Molly's Jolly Jamboree,Give children the story props and invite them to retell story,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 12, 16",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Mommy and Baby Animals,Use Peeper Puppet to perform chant with little ones,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 11, 28",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Mommy and Daddy Names,"Ask what children call their mom and dad, teach ASL signs for mommy and daddy",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"C1c Responds to non-verbal requests (uses sign language, shakes head “no”)",15 - 36,,"AG, 2, 7",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,"Mother, May I? ","Call out to children one at a time, ask them to action, have children respond with ""Mother, May I?""",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"C1c Responds to non-verbal requests (uses sign language, shakes head “no”)",15 - 36,,"AG, 2, 3",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing along to frog street songs ,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 1, 13",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street songs together,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 1, 23",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18191,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 1, 33",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C3a Attempts to sing a song,15 - 36,,"AG, 11, 13",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C3a Attempts to sing a song,15 - 36,,"AG, 11, 23",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C3a Attempts to sing a song,15 - 36,,"AG, 11, 3",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18201,C3a Attempts to sing a song,15 - 36,,"AG, 11, 33",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,C3a Attempts to sing a song,15 - 36,,"AG, 12, 13",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,C3a Attempts to sing a song,15 - 36,,"AG, 12, 23",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,C3a Attempts to sing a song,15 - 36,,"AG, 12, 3",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18202,C3a Attempts to sing a song,15 - 36,,"AG, 12, 33",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 2, 23",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 2, 3",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 2, 33",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,"C3d Sings songs, retells stories, or repeats rhymes to family members or peers",15 - 36,,"AG, 2, 9",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C3a Attempts to sing a song,15 - 36,,"AG, 3, 13",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C3a Attempts to sing a song,15 - 36,,"AG, 3, 23",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,"C2d Participates in songs, stories, and finger plays",15 - 36,,"AG, 3, 3",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C3a Attempts to sing a song,15 - 36,,"AG, 3, 33",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18193,C3a Attempts to sing a song,15 - 36,,"AG, 3, 7",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18196,C3a Attempts to sing a song,15 - 36,,"AG, 6, 13",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18196,C3a Attempts to sing a song,15 - 36,,"AG, 6, 23",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18196,C3a Attempts to sing a song,15 - 36,,"AG, 6, 3",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,Music and Movement,Sing Frog Street Sing-Along Songs,https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18196,C3a Attempts to sing a song,15 - 36,,"AG, 6, 33",,,,,,
LLD 3: Communication and Use of Language (Expressive),"Exploring Middle, Exploring Later",Planned Learning Activity,Frog Street Toddler,My Bedroom,"Ask ""what do you like best in your bedroom"" and have children draw picture of their bedroom",https://neighborhoodhouseca.lilypad2.frogstreet.com/resources/48/detail/18192,C2e Answers simple questions,15 - 36,,"AG, 2, 39",,,,,,
